theta,nn_med,nn_p90,RandomForest,DecisionTree,LogisticReg
0,0.31465915838905223,1.8117987726326823,0.020454545454545454,0.011363636363636364,0.0
15,2.15043741202663,27.184284195718398,0.020454545454545454,0.011363636363636364,0.0
30,7.202418377388213,59.138439255832985,0.020454545454545454,0.011363636363636364,0.0
45,18.599969445868304,94.27318853561482,0.020454545454545454,0.011363636363636364,0.0
60,35.128811018796235,116.8801893565303,0.01818181818181818,0.011363636363636364,0.0
75,44.502707546124974,138.72553914284697,0.01818181818181818,0.011363636363636364,0.0
90,50.269432681924116,180.00908203688903,0.015909090909090907,0.011363636363636364,0.0
105,51.91920647771191,186.3918336986403,0.015909090909090907,0.011363636363636364,0.0
120,52.17237544218714,167.17803251016463,0.015909090909090907,0.011363636363636364,0.0
135,46.28593040843819,164.1466365868068,0.015909090909090907,0.011363636363636364,0.0
150,39.78063990022553,139.074466838817,0.015909090909090907,0.011363636363636364,0.0
165,28.73657126307144,113.808806329113,0.020454545454545454,0.011363636363636364,0.0
180,21.42123486581778,117.06145573625174,0.01818181818181818,0.011363636363636364,0.0
195,34.36095494328965,122.50371060180741,0.01818181818181818,0.011363636363636364,0.0
210,45.61468022104997,129.3968656434093,0.01818181818181818,0.011363636363636364,0.0
225,54.65373994848282,142.14322878016117,0.015909090909090907,0.011363636363636364,0.0
240,54.07958344477983,149.51635737529764,0.015909090909090907,0.011363636363636364,0.0
255,53.187166626356486,190.58240562000276,0.015909090909090907,0.011363636363636364,0.0
270,49.035383493018664,205.17994767667776,0.015909090909090907,0.011363636363636364,0.0
285,39.44418618954124,203.14333947951172,0.015909090909090907,0.011363636363636364,0.0
300,35.4342644973009,183.19577271806597,0.015909090909090907,0.011363636363636364,0.0
315,30.10435939551484,145.6115398585752,0.015909090909090907,0.011363636363636364,0.0
330,26.524784758253183,101.66157321438834,0.015909090909090907,0.011363636363636364,0.0
345,12.669700774360278,53.55342303992502,0.01818181818181818,0.011363636363636364,0.0
